state,district,year,month,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrolments,total_updates,adult_system_stress,child_system_stress,digital_friction_index,log_digital_friction,friction_outlier
Andhra Pradesh,chittoor,2025,12,1633,114,39,3476.0,17167.0,11779.0,11092.0,1786,43514.0,28259.0,15255.0,706.475,6.561702293204027,False
Andhra Pradesh,cuddapah,2025,9,1869,199,40,758.0,7190.0,3791.0,4926.0,2108,16665.0,12116.0,4549.0,295.5121951219512,5.692088347851486,False
Andhra Pradesh,cuddapah,2025,10,1315,93,5,1336.0,7118.0,11049.0,5798.0,1413,25301.0,12916.0,12385.0,2152.6666666666665,7.674927094890056,False
Andhra Pradesh,cuddapah,2025,11,1899,129,34,2037.0,9615.0,11449.0,5831.0,2062,28932.0,15446.0,13486.0,441.3142857142857,6.092020683051052,False
Andhra Pradesh,cuddapah,2025,12,1375,59,30,1772.0,11024.0,11238.0,7876.0,1464,31910.0,18900.0,13010.0,609.6774193548387,6.414568864524764,False
Andhra Pradesh,dr b r ambedkar konaseema,2025,9,1,0,0,116.0,1331.0,0.0,2.0,1,1449.0,1333.0,116.0,1333.0,7.195937226475569,False
Andhra Pradesh,dr b r ambedkar konaseema,2025,10,1,0,0,203.0,873.0,1.0,0.0,1,1077.0,873.0,204.0,873.0,6.773080375655535,False
Andhra Pradesh,east godavari,2025,9,2634,252,23,1350.0,13667.0,7295.0,8192.0,2909,30504.0,21859.0,8645.0,910.7916666666666,6.815411528306415,False
Andhra Pradesh,east godavari,2025,10,1519,155,4,2074.0,9636.0,20475.0,7566.0,1678,39751.0,17202.0,22549.0,3440.4,8.143633644319058,False
Andhra Pradesh,east godavari,2025,11,2359,147,19,2750.0,14706.0,25844.0,8852.0,2525,52152.0,23558.0,28594.0,1177.9,7.072337079298082,False
Andhra Pradesh,east godavari,2025,12,1729,70,9,2847.0,19804.0,18211.0,11677.0,1808,52539.0,31481.0,21058.0,3148.1,8.054871976709862,False
Andhra Pradesh,eluru,2025,9,3,0,0,47.0,754.0,1.0,0.0,3,802.0,754.0,48.0,754.0,6.626717749249025,False
Andhra Pradesh,eluru,2025,11,1,0,0,123.0,889.0,2.0,1.0,1,1015.0,890.0,125.0,890.0,6.792344427470809,False
Andhra Pradesh,guntur,2025,9,2697,382,23,1254.0,12943.0,4860.0,8131.0,3102,27188.0,21074.0,6114.0,878.0833333333334,6.778879697893808,False
Andhra Pradesh,guntur,2025,10,1611,228,3,2231.0,9658.0,16492.0,8603.0,1842,36984.0,18261.0,18723.0,4565.25,8.426447578109492,True
Andhra Pradesh,guntur,2025,11,2912,274,22,3171.0,14723.0,20769.0,10607.0,3208,49270.0,25330.0,23940.0,1101.304347826087,7.005158129283442,False
Andhra Pradesh,guntur,2025,12,2278,127,19,2859.0,18397.0,15605.0,12578.0,2424,49439.0,30975.0,18464.0,1548.75,7.345848906582029,False
Andhra Pradesh,hanumakonda,2025,9,47,6,0,1.0,2.0,0.0,0.0,53,3.0,2.0,1.0,2.0,1.0986122886681098,False
Andhra Pradesh,hanumakonda,2025,10,29,6,0,1.0,6.0,0.0,0.0,35,7.0,6.0,1.0,6.0,1.9459101490553132,False
Andhra Pradesh,hanumakonda,2025,11,22,10,0,0.0,2.0,0.0,0.0,32,2.0,2.0,0.0,2.0,1.0986122886681098,False
Andhra Pradesh,hanumakonda,2025,12,19,5,0,0.0,9.0,0.0,0.0,24,9.0,9.0,0.0,9.0,2.302585092994046,False
Andhra Pradesh,hyderabad,2025,9,1212,354,1,400.0,4089.0,2306.0,8623.0,1567,15418.0,12712.0,2706.0,6356.0,8.757311846936409,True
Andhra Pradesh,hyderabad,2025,10,926,275,0,586.0,3266.0,2976.0,6365.0,1201,13193.0,9631.0,3562.0,9631.0,9.172846167548602,True
Andhra Pradesh,hyderabad,2025,11,1117,290,0,1115.0,5728.0,3121.0,7442.0,1407,17406.0,13170.0,4236.0,13170.0,9.485772721999046,True
Andhra Pradesh,hyderabad,2025,12,632,106,0,753.0,7092.0,3265.0,10543.0,738,21653.0,17635.0,4018.0,17635.0,9.777697546477828,True
Andhra Pradesh,jagitial,2025,9,15,4,0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jagitial,2025,10,18,0,0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jagitial,2025,11,13,1,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jagitial,2025,12,9,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jangoan,2025,9,13,5,0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jangoan,2025,10,13,8,0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jangoan,2025,11,14,0,0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jangoan,2025,12,9,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jayashankar bhupalpally,2025,9,20,8,0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jayashankar bhupalpally,2025,10,10,1,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jayashankar bhupalpally,2025,11,13,2,0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jayashankar bhupalpally,2025,12,13,3,0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,jogulamba gadwal,2025,9,128,55,0,16.0,443.0,12.0,152.0,183,623.0,595.0,28.0,595.0,6.39024066706535,False
Andhra Pradesh,jogulamba gadwal,2025,10,70,30,0,11.0,522.0,7.0,256.0,100,796.0,778.0,18.0,778.0,6.658011045870748,False
Andhra Pradesh,jogulamba gadwal,2025,11,60,26,0,32.0,718.0,9.0,233.0,86,992.0,951.0,41.0,951.0,6.858565034791365,False
Andhra Pradesh,jogulamba gadwal,2025,12,12,6,0,9.0,772.0,4.0,156.0,18,941.0,928.0,13.0,928.0,6.834108738813838,False
Andhra Pradesh,k v rangareddy,2025,9,432,135,0,163.0,2218.0,710.0,3227.0,567,6318.0,5445.0,873.0,5445.0,8.602636673233706,True
Andhra Pradesh,k v rangareddy,2025,10,252,99,0,242.0,1492.0,1345.0,2563.0,351,5642.0,4055.0,1587.0,4055.0,8.30795254527102,True
Andhra Pradesh,k v rangareddy,2025,11,268,98,0,521.0,2303.0,1149.0,2509.0,366,6482.0,4812.0,1670.0,4812.0,8.47907586930311,True
Andhra Pradesh,k v rangareddy,2025,12,172,31,0,256.0,2385.0,1137.0,3212.0,203,6990.0,5597.0,1393.0,5597.0,8.630164670075398,True
Andhra Pradesh,kakinada,2025,9,96,8,0,226.0,2115.0,0.0,0.0,104,2341.0,2115.0,226.0,2115.0,7.65728279297819,False
Andhra Pradesh,kakinada,2025,10,44,5,1,341.0,1540.0,0.0,0.0,50,1881.0,1540.0,341.0,770.0,6.647688373563329,False
Andhra Pradesh,kakinada,2025,11,89,5,1,383.0,2237.0,0.0,0.0,95,2620.0,2237.0,383.0,1118.5,7.020637436038809,False
Andhra Pradesh,kakinada,2025,12,66,3,1,428.0,3200.0,0.0,0.0,70,3628.0,3200.0,428.0,1600.0,7.3783837129967145,False
Andhra Pradesh,kamareddy,2025,9,4,1,0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,kamareddy,2025,10,5,1,0,1.0,4.0,0.0,0.0,6,5.0,4.0,1.0,4.0,1.6094379124341003,False
Andhra Pradesh,kamareddy,2025,11,2,2,0,1.0,6.0,0.0,0.0,4,7.0,6.0,1.0,6.0,1.9459101490553132,False
Andhra Pradesh,kamareddy,2025,12,1,0,0,3.0,5.0,0.0,0.0,1,8.0,5.0,3.0,5.0,1.791759469228055,False
Andhra Pradesh,karimnagar,2025,9,210,48,0,106.0,1782.0,400.0,2834.0,258,5122.0,4616.0,506.0,4616.0,8.43750042250699,True
Andhra Pradesh,karimnagar,2025,10,129,22,0,161.0,1290.0,827.0,1526.0,151,3804.0,2816.0,988.0,2816.0,7.943427767876373,False
Andhra Pradesh,karimnagar,2025,11,109,21,0,265.0,1973.0,687.0,1498.0,130,4423.0,3471.0,952.0,3471.0,8.15248607578024,False
Andhra Pradesh,karimnagar,2025,12,54,10,0,173.0,2324.0,782.0,1659.0,64,4938.0,3983.0,955.0,3983.0,8.290041618704489,True
Andhra Pradesh,khammam,2025,9,278,96,0,523.0,4003.0,2160.0,2901.0,374,9587.0,6904.0,2683.0,6904.0,8.840001065843392,True
Andhra Pradesh,khammam,2025,10,164,50,0,849.0,4262.0,2920.0,3328.0,214,11359.0,7590.0,3769.0,7590.0,8.934718614016768,True
Andhra Pradesh,khammam,2025,11,204,45,0,1362.0,5270.0,2579.0,2524.0,249,11735.0,7794.0,3941.0,7794.0,8.961237781491876,True
Andhra Pradesh,khammam,2025,12,81,12,1,714.0,5854.0,1959.0,2508.0,94,11035.0,8362.0,2673.0,4181.0,8.338544879988579,True
Andhra Pradesh,komaram bheem,2025,9,30,21,0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,komaram bheem,2025,10,9,2,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,komaram bheem,2025,11,14,6,0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,komaram bheem,2025,12,8,4,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,krishna,2025,9,2282,246,24,926.0,10064.0,5779.0,9565.0,2552,26334.0,19629.0,6705.0,785.16,6.667160334054171,False
Andhra Pradesh,krishna,2025,10,1236,164,7,1439.0,6416.0,12839.0,7290.0,1407,27984.0,13706.0,14278.0,1713.25,7.4467309461644735,False
Andhra Pradesh,krishna,2025,11,1984,162,38,1915.0,10425.0,17538.0,8484.0,2184,38362.0,18909.0,19453.0,484.84615384615387,6.1858920179139965,False
Andhra Pradesh,krishna,2025,12,1428,72,10,1858.0,13342.0,11163.0,10367.0,1510,36730.0,23709.0,13021.0,2155.3636363636365,7.676178580313291,False
Andhra Pradesh,krishnagiri,2025,11,2,0,0,0.0,0.0,0.0,1.0,2,1.0,1.0,0.0,1.0,0.6931471805599453,False
Andhra Pradesh,kurnool,2025,9,3385,314,12,1361.0,10705.0,7610.0,9006.0,3711,28682.0,19711.0,8971.0,1516.2307692307693,7.32464208988248,False
Andhra Pradesh,kurnool,2025,10,2619,218,2,2325.0,9477.0,23272.0,10643.0,2839,45717.0,20120.0,25597.0,6706.666666666667,8.811006429798258,True
Andhra Pradesh,kurnool,2025,11,3185,199,8,4195.0,14692.0,20517.0,11160.0,3392,50564.0,25852.0,24712.0,2872.4444444444443,7.963266744002221,False
Andhra Pradesh,kurnool,2025,12,2345,107,8,4006.0,17606.0,17012.0,13245.0,2460,51869.0,30851.0,21018.0,3427.8888888888887,8.139991548580932,False
Andhra Pradesh,mahabubabad,2025,9,36,3,0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mahabubabad,2025,10,10,5,0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mahabubabad,2025,11,8,8,0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mahabubabad,2025,12,10,2,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mahabubnagar,2025,9,266,106,0,57.0,1252.0,351.0,4558.0,372,6218.0,5810.0,408.0,5810.0,8.667507952075105,True
Andhra Pradesh,mahabubnagar,2025,10,156,65,0,75.0,957.0,556.0,3877.0,221,5465.0,4834.0,631.0,4834.0,8.483636407887394,True
Andhra Pradesh,mahabubnagar,2025,11,162,60,0,138.0,1223.0,450.0,3018.0,222,4829.0,4241.0,588.0,4241.0,8.352790135124629,True
Andhra Pradesh,mahabubnagar,2025,12,85,14,0,91.0,1383.0,361.0,3278.0,99,5113.0,4661.0,452.0,4661.0,8.447199819595703,True
Andhra Pradesh,mancherial,2025,9,35,7,0,3.0,14.0,0.0,0.0,42,17.0,14.0,3.0,14.0,2.70805020110221,False
Andhra Pradesh,mancherial,2025,10,19,9,0,1.0,13.0,0.0,0.0,28,14.0,13.0,1.0,13.0,2.6390573296152584,False
Andhra Pradesh,mancherial,2025,11,25,4,0,3.0,26.0,0.0,0.0,29,29.0,26.0,3.0,26.0,3.295836866004329,False
Andhra Pradesh,mancherial,2025,12,11,1,0,0.0,23.0,0.0,0.0,12,23.0,23.0,0.0,23.0,3.1780538303479458,False
Andhra Pradesh,medak,2025,9,433,79,1,176.0,1666.0,796.0,2598.0,513,5236.0,4264.0,972.0,2132.0,7.665284718471351,False
Andhra Pradesh,medak,2025,10,243,57,0,241.0,1306.0,968.0,2136.0,300,4651.0,3442.0,1209.0,3442.0,8.144098463338524,False
Andhra Pradesh,medak,2025,11,265,63,0,446.0,2254.0,851.0,1791.0,328,5342.0,4045.0,1297.0,4045.0,8.305484017727691,True
Andhra Pradesh,medak,2025,12,131,12,0,272.0,2272.0,898.0,1823.0,143,5265.0,4095.0,1170.0,4095.0,8.317766166719343,True
Andhra Pradesh,medchal malkajgiri,2025,9,122,36,0,110.0,740.0,297.0,1111.0,158,2258.0,1851.0,407.0,1851.0,7.524021415206125,False
Andhra Pradesh,medchal malkajgiri,2025,10,108,26,0,139.0,632.0,430.0,725.0,134,1926.0,1357.0,569.0,1357.0,7.213768308118642,False
Andhra Pradesh,medchal malkajgiri,2025,11,104,26,0,350.0,1022.0,377.0,891.0,130,2640.0,1913.0,727.0,1913.0,7.5569505720129,False
Andhra Pradesh,medchal malkajgiri,2025,12,59,4,0,171.0,1324.0,419.0,1162.0,63,3076.0,2486.0,590.0,2486.0,7.818832443803404,False
Andhra Pradesh,mulugu,2025,9,27,0,0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mulugu,2025,10,9,1,0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mulugu,2025,11,6,2,0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,mulugu,2025,12,1,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,n t r,2025,12,0,1,0,792.0,5849.0,4.0,1.0,1,6646.0,5850.0,796.0,5850.0,8.674367865788236,True
Andhra Pradesh,nagarkurnool,2025,9,26,8,0,14.0,275.0,0.0,0.0,34,289.0,275.0,14.0,275.0,5.62040086571715,False
Andhra Pradesh,nagarkurnool,2025,10,13,2,0,23.0,183.0,0.0,0.0,15,206.0,183.0,23.0,183.0,5.214935757608986,False
Andhra Pradesh,nagarkurnool,2025,11,8,5,0,74.0,259.0,0.0,0.0,13,333.0,259.0,74.0,259.0,5.560681631015528,False
Andhra Pradesh,nagarkurnool,2025,12,6,1,0,39.0,265.0,0.0,0.0,7,304.0,265.0,39.0,265.0,5.583496308781699,False
Andhra Pradesh,nalgonda,2025,9,276,64,0,150.0,4653.0,461.0,4012.0,340,9276.0,8665.0,611.0,8665.0,9.067162602299854,True
Andhra Pradesh,nalgonda,2025,10,167,26,0,227.0,4043.0,939.0,4483.0,193,9692.0,8526.0,1166.0,8526.0,9.050992878742049,True
Andhra Pradesh,nalgonda,2025,11,177,40,0,482.0,6032.0,815.0,3460.0,217,10789.0,9492.0,1297.0,9492.0,9.158309963881798,True
Andhra Pradesh,nalgonda,2025,12,73,11,0,249.0,5002.0,848.0,3234.0,84,9333.0,8236.0,1097.0,8236.0,9.016391478941248,True
Andhra Pradesh,narayanpet,2025,9,74,17,0,2.0,381.0,0.0,0.0,91,383.0,381.0,2.0,381.0,5.945420608606575,False
Andhra Pradesh,narayanpet,2025,10,35,12,0,3.0,204.0,0.0,0.0,47,207.0,204.0,3.0,204.0,5.3230099791384085,False
Andhra Pradesh,narayanpet,2025,11,23,13,0,11.0,309.0,0.0,0.0,36,320.0,309.0,11.0,309.0,5.736572297479192,False
Andhra Pradesh,narayanpet,2025,12,15,4,0,9.0,325.0,0.0,0.0,19,334.0,325.0,9.0,325.0,5.786897381366708,False
Andhra Pradesh,nellore,2025,3,43,44,29,621.0,8871.0,5236.0,6444.0,116,21172.0,15315.0,5857.0,510.5,6.2373475853916815,False
Andhra Pradesh,nellore,2025,6,742,405,201,0.0,0.0,18066.0,8405.0,1348,26471.0,8405.0,18066.0,41.60891089108911,3.75206340724827,False
Andhra Pradesh,nellore,2025,7,382,264,73,0.0,0.0,7211.0,8993.0,719,16204.0,8993.0,7211.0,121.52702702702703,4.8083316344418865,False
Andhra Pradesh,nellore,2025,9,1732,609,126,821.0,8186.0,3482.0,5100.0,2467,17589.0,13286.0,4303.0,104.61417322834646,4.659792578443499,False
Andhra Pradesh,nellore,2025,10,972,299,63,938.0,5730.0,9333.0,5007.0,1334,21008.0,10737.0,10271.0,167.765625,5.128510918058803,False
Andhra Pradesh,nellore,2025,11,1522,498,133,1795.0,10421.0,11737.0,6648.0,2153,30601.0,17069.0,13532.0,127.38059701492537,4.854999266246128,False
Andhra Pradesh,nellore,2025,12,1085,200,71,1493.0,10622.0,7391.0,6879.0,1356,26385.0,17501.0,8884.0,243.06944444444446,5.497452793178791,False
Andhra Pradesh,nirmal,2025,9,26,6,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,nirmal,2025,10,15,3,1,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,nirmal,2025,11,12,1,0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,nirmal,2025,12,3,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,nizamabad,2025,9,161,26,0,71.0,698.0,338.0,886.0,187,1993.0,1584.0,409.0,1584.0,7.368339686311381,False
Andhra Pradesh,nizamabad,2025,10,115,16,0,92.0,567.0,576.0,961.0,131,2196.0,1528.0,668.0,1528.0,7.332369205929062,False
Andhra Pradesh,nizamabad,2025,11,98,19,0,202.0,988.0,501.0,855.0,117,2546.0,1843.0,703.0,1843.0,7.519692404116539,False
Andhra Pradesh,nizamabad,2025,12,41,3,0,130.0,933.0,478.0,931.0,44,2472.0,1864.0,608.0,1864.0,7.5310163320779155,False
Andhra Pradesh,parvathipuram manyam,2025,9,91,6,0,50.0,507.0,0.0,0.0,97,557.0,507.0,50.0,507.0,6.230481447578482,False
Andhra Pradesh,parvathipuram manyam,2025,10,48,7,1,87.0,530.0,0.0,0.0,56,617.0,530.0,87.0,265.0,5.583496308781699,False
Andhra Pradesh,parvathipuram manyam,2025,11,53,9,0,191.0,822.0,0.0,0.0,62,1013.0,822.0,191.0,822.0,6.71295620067707,False
Andhra Pradesh,parvathipuram manyam,2025,12,43,1,0,181.0,856.0,0.0,0.0,44,1037.0,856.0,181.0,856.0,6.75343791859778,False
Andhra Pradesh,peddapalli,2025,9,1,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,peddapalli,2025,10,2,2,0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,peddapalli,2025,11,2,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,peddapalli,2025,12,1,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,False
Andhra Pradesh,prakasam,2025,7,91,108,38,168.0,861.0,8848.0,10110.0,237,19987.0,10971.0,9016.0,281.3076923076923,5.642997583587079,False
Andhra Pradesh,prakasam,2025,9,2290,517,25,1239.0,12542.0,4221.0,5914.0,2832,23916.0,18456.0,5460.0,709.8461538461538,6.566456026426503,False
Andhra Pradesh,prakasam,2025,10,1212,206,3,1888.0,9181.0,9564.0,7313.0,1421,27946.0,16494.0,11452.0,4123.5,8.324700079300786,True
Andhra Pradesh,prakasam,2025,11,1653,254,16,3498.0,15675.0,13096.0,8233.0,1923,40502.0,23908.0,16594.0,1406.3529411764705,7.249465872264939,False
